BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
AWJG02G12,AWJG02G12,GCA_023055435.1,AWJG02G12_R1_001.fastq.gz,AWJG02G12_R2_001.fastq.gz,32.67363333333333,-117.24614722222222,73-Haliotis,AWJG02G12,73-Haliotis
AWJG02H12,AWJG02H12,GCA_023055435.1,AWJG02H12_R1_001.fastq.gz,AWJG02H12_R2_001.fastq.gz,40.02043888888889,-124.06986666666667,73-Haliotis,AWJG02H12,73-Haliotis
AWJG02F12,AWJG02F12,GCA_023055435.1,AWJG02F12_R1_001.fastq.gz,AWJG02F12_R2_001.fastq.gz,42.4414,-124.3025,73-Haliotis,AWJG02F12,73-Haliotis
AWJG02E12,AWJG02E12,GCA_023055435.1,AWJG02E12_R1_001.fastq.gz,AWJG02E12_R2_001.fastq.gz,42.0558,-124.2057,73-Haliotis,AWJG02E12,73-Haliotis
AWJG03D01,AWJG03D01,GCA_023055435.1,AWJG03D01_R1_001.fastq.gz,AWJG03D01_R2_001.fastq.gz,31.54910277777778,-116.68323611111111,73-Haliotis,AWJG03D01,73-Haliotis
AWJG03E01,AWJG03E01,GCA_023055435.1,AWJG03E01_R1_001.fastq.gz,AWJG03E01_R2_001.fastq.gz,42.0558,-124.2057,73-Haliotis,AWJG03E01,73-Haliotis
AWJG03F01,AWJG03F01,GCA_023055435.1,AWJG03F01_R1_001.fastq.gz,AWJG03F01_R2_001.fastq.gz,42.4414,-124.3025,73-Haliotis,AWJG03F01,73-Haliotis
AWJG03G01,AWJG03G01,GCA_023055435.1,AWJG03G01_R1_001.fastq.gz,AWJG03G01_R2_001.fastq.gz,41.74355833333333,-124.20152777777778,73-Haliotis,AWJG03G01,73-Haliotis
AWJG03H01,AWJG03H01,GCA_023055435.1,AWJG03H01_R1_001.fastq.gz,AWJG03H01_R2_001.fastq.gz,40.02043888888889,-124.06986666666667,73-Haliotis,AWJG03H01,73-Haliotis
AWJG03B02,AWJG03B02,GCA_023055435.1,AWJG03B02_R1_001.fastq.gz,AWJG03B02_R2_001.fastq.gz,38.530525,-123.27260555555556,73-Haliotis,AWJG03B02,73-Haliotis
AWJG03A02,AWJG03A02,GCA_023055435.1,AWJG03A02_R1_001.fastq.gz,AWJG03A02_R2_001.fastq.gz,39.269758333333336,-123.79865833333334,73-Haliotis,AWJG03A02,73-Haliotis
AWJG03F02,AWJG03F02,GCA_023055435.1,AWJG03F02_R1_001.fastq.gz,AWJG03F02_R2_001.fastq.gz,42.4414,-124.3025,73-Haliotis,AWJG03F02,73-Haliotis
AWJG03C02,AWJG03C02,GCA_023055435.1,AWJG03C02_R1_001.fastq.gz,AWJG03C02_R2_001.fastq.gz,37.700858333333336,-122.99649166666667,73-Haliotis,AWJG03C02,73-Haliotis
AWJG03E02,AWJG03E02,GCA_023055435.1,AWJG03E02_R1_001.fastq.gz,AWJG03E02_R2_001.fastq.gz,42.0558,-124.2057,73-Haliotis,AWJG03E02,73-Haliotis
AWJG03D02,AWJG03D02,GCA_023055435.1,AWJG03D02_R1_001.fastq.gz,AWJG03D02_R2_001.fastq.gz,35.21,-120.8573,73-Haliotis,AWJG03D02,73-Haliotis
AWJG03G02,AWJG03G02,GCA_023055435.1,AWJG03G02_R1_001.fastq.gz,AWJG03G02_R2_001.fastq.gz,32.67363333333333,-117.24614722222222,73-Haliotis,AWJG03G02,73-Haliotis
AWJG03H02,AWJG03H02,GCA_023055435.1,AWJG03H02_R1_001.fastq.gz,AWJG03H02_R2_001.fastq.gz,39.360083333333336,-123.82366666666667,73-Haliotis,AWJG03H02,73-Haliotis
AWJG03A03,AWJG03A03,GCA_023055435.1,AWJG03A03_R1_001.fastq.gz,AWJG03A03_R2_001.fastq.gz,39.269758333333336,-123.79865833333334,73-Haliotis,AWJG03A03,73-Haliotis
AWJG03B03,AWJG03B03,GCA_023055435.1,AWJG03B03_R1_001.fastq.gz,AWJG03B03_R2_001.fastq.gz,38.31356666666667,-123.07554722222221,73-Haliotis,AWJG03B03,73-Haliotis
AWJG03C03,AWJG03C03,GCA_023055435.1,AWJG03C03_R1_001.fastq.gz,AWJG03C03_R2_001.fastq.gz,37.700858333333336,-122.99649166666667,73-Haliotis,AWJG03C03,73-Haliotis
AWJG03D03,AWJG03D03,GCA_023055435.1,AWJG03D03_R1_001.fastq.gz,AWJG03D03_R2_001.fastq.gz,34.05266111111111,-120.3465361111111,73-Haliotis,AWJG03D03,73-Haliotis
AWJG03G03,AWJG03G03,GCA_023055435.1,AWJG03G03_R1_001.fastq.gz,AWJG03G03_R2_001.fastq.gz,41.74355833333333,-124.20152777777778,73-Haliotis,AWJG03G03,73-Haliotis
AWJG03E03,AWJG03E03,GCA_023055435.1,AWJG03E03_R1_001.fastq.gz,AWJG03E03_R2_001.fastq.gz,42.0558,-124.2057,73-Haliotis,AWJG03E03,73-Haliotis
AWJG03F03,AWJG03F03,GCA_023055435.1,AWJG03F03_R1_001.fastq.gz,AWJG03F03_R2_001.fastq.gz,42.4414,-124.3025,73-Haliotis,AWJG03F03,73-Haliotis
AWJG03H03,AWJG03H03,GCA_023055435.1,AWJG03H03_R1_001.fastq.gz,AWJG03H03_R2_001.fastq.gz,39.360083333333336,-123.82366666666667,73-Haliotis,AWJG03H03,73-Haliotis
AWJG03A04,AWJG03A04,GCA_023055435.1,AWJG03A04_R1_001.fastq.gz,AWJG03A04_R2_001.fastq.gz,38.563975,-123.33383888888888,73-Haliotis,AWJG03A04,73-Haliotis
AWJG03B04,AWJG03B04,GCA_023055435.1,AWJG03B04_R1_001.fastq.gz,AWJG03B04_R2_001.fastq.gz,38.31356666666667,-123.07554722222221,73-Haliotis,AWJG03B04,73-Haliotis
AWJG03C04,AWJG03C04,GCA_023055435.1,AWJG03C04_R1_001.fastq.gz,AWJG03C04_R2_001.fastq.gz,36.620733333333334,-121.90196666666667,73-Haliotis,AWJG03C04,73-Haliotis
AWJG03D04,AWJG03D04,GCA_023055435.1,AWJG03D04_R1_001.fastq.gz,AWJG03D04_R2_001.fastq.gz,34.05266111111111,-120.3465361111111,73-Haliotis,AWJG03D04,73-Haliotis
AWJG03E04,AWJG03E04,GCA_023055435.1,AWJG03E04_R1_001.fastq.gz,AWJG03E04_R2_001.fastq.gz,42.0558,-124.2057,73-Haliotis,AWJG03E04,73-Haliotis
AWJG03G04,AWJG03G04,GCA_023055435.1,AWJG03G04_R1_001.fastq.gz,AWJG03G04_R2_001.fastq.gz,41.74355833333333,-124.20152777777778,73-Haliotis,AWJG03G04,73-Haliotis
AWJG03H04,AWJG03H04,GCA_023055435.1,AWJG03H04_R1_001.fastq.gz,AWJG03H04_R2_001.fastq.gz,40.02043888888889,-124.06986666666667,73-Haliotis,AWJG03H04,73-Haliotis
AWJG03A05,AWJG03A05,GCA_023055435.1,AWJG03A05_R1_001.fastq.gz,AWJG03A05_R2_001.fastq.gz,38.563975,-123.33383888888888,73-Haliotis,AWJG03A05,73-Haliotis
AWJG03F04,AWJG03F04,GCA_023055435.1,AWJG03F04_R1_001.fastq.gz,AWJG03F04_R2_001.fastq.gz,42.4414,-124.3025,73-Haliotis,AWJG03F04,73-Haliotis
AWJG03B05,AWJG03B05,GCA_023055435.1,AWJG03B05_R1_001.fastq.gz,AWJG03B05_R2_001.fastq.gz,37.98801666666667,-122.96269722222223,73-Haliotis,AWJG03B05,73-Haliotis
AWJG03D05,AWJG03D05,GCA_023055435.1,AWJG03D05_R1_001.fastq.gz,AWJG03D05_R2_001.fastq.gz,31.54910277777778,-116.68323611111111,73-Haliotis,AWJG03D05,73-Haliotis
AWJG03C05,AWJG03C05,GCA_023055435.1,AWJG03C05_R1_001.fastq.gz,AWJG03C05_R2_001.fastq.gz,36.620733333333334,-121.90196666666667,73-Haliotis,AWJG03C05,73-Haliotis
AWJG03E05,AWJG03E05,GCA_023055435.1,AWJG03E05_R1_001.fastq.gz,AWJG03E05_R2_001.fastq.gz,42.0558,-124.2057,73-Haliotis,AWJG03E05,73-Haliotis
AWJG03F05,AWJG03F05,GCA_023055435.1,AWJG03F05_R1_001.fastq.gz,AWJG03F05_R2_001.fastq.gz,43.340138888888895,-124.3781611111111,73-Haliotis,AWJG03F05,73-Haliotis
AWJG03G05,AWJG03G05,GCA_023055435.1,AWJG03G05_R1_001.fastq.gz,AWJG03G05_R2_001.fastq.gz,41.050533333333334,-124.15049166666667,73-Haliotis,AWJG03G05,73-Haliotis
AWJG03H05,AWJG03H05,GCA_023055435.1,AWJG03H05_R1_001.fastq.gz,AWJG03H05_R2_001.fastq.gz,40.02043888888889,-124.06986666666667,73-Haliotis,AWJG03H05,73-Haliotis
AWJG03A06,AWJG03A06,GCA_023055435.1,AWJG03A06_R1_001.fastq.gz,AWJG03A06_R2_001.fastq.gz,38.530525,-123.27260555555556,73-Haliotis,AWJG03A06,73-Haliotis
AWJG03B06,AWJG03B06,GCA_023055435.1,AWJG03B06_R1_001.fastq.gz,AWJG03B06_R2_001.fastq.gz,37.98801666666667,-122.96269722222223,73-Haliotis,AWJG03B06,73-Haliotis
AWJG03D06,AWJG03D06,GCA_023055435.1,AWJG03D06_R1_001.fastq.gz,AWJG03D06_R2_001.fastq.gz,31.54910277777778,-116.68323611111111,73-Haliotis,AWJG03D06,73-Haliotis
AWJG03C06,AWJG03C06,GCA_023055435.1,AWJG03C06_R1_001.fastq.gz,AWJG03C06_R2_001.fastq.gz,35.21,-120.8573,73-Haliotis,AWJG03C06,73-Haliotis
AWJG03E06,AWJG03E06,GCA_023055435.1,AWJG03E06_R1_001.fastq.gz,AWJG03E06_R2_001.fastq.gz,42.0558,-124.2057,73-Haliotis,AWJG03E06,73-Haliotis
AWJG03F06,AWJG03F06,GCA_023055435.1,AWJG03F06_R1_001.fastq.gz,AWJG03F06_R2_001.fastq.gz,32.67363333333333,-117.24614722222222,73-Haliotis,AWJG03F06,73-Haliotis
AWJG03A07,AWJG03A07,GCA_023055435.1,AWJG03A07_R1_001.fastq.gz,AWJG03A07_R2_001.fastq.gz,36.620733333333334,-121.90196666666667,73-Haliotis,AWJG03A07,73-Haliotis
AWJG03G06,AWJG03G06,GCA_023055435.1,AWJG03G06_R1_001.fastq.gz,AWJG03G06_R2_001.fastq.gz,41.050533333333334,-124.15049166666667,73-Haliotis,AWJG03G06,73-Haliotis
AWJG03B07,AWJG03B07,GCA_023055435.1,AWJG03B07_R1_001.fastq.gz,AWJG03B07_R2_001.fastq.gz,42.0558,-124.2057,73-Haliotis,AWJG03B07,73-Haliotis
AWJG03C07,AWJG03C07,GCA_023055435.1,AWJG03C07_R1_001.fastq.gz,AWJG03C07_R2_001.fastq.gz,42.4414,-124.3025,73-Haliotis,AWJG03C07,73-Haliotis
AWJG03D07,AWJG03D07,GCA_023055435.1,AWJG03D07_R1_001.fastq.gz,AWJG03D07_R2_001.fastq.gz,39.269758333333336,-123.79865833333334,73-Haliotis,AWJG03D07,73-Haliotis
AWJG03E07,AWJG03E07,GCA_023055435.1,AWJG03E07_R1_001.fastq.gz,AWJG03E07_R2_001.fastq.gz,38.530525,-123.27260555555556,73-Haliotis,AWJG03E07,73-Haliotis
AWJG03F07,AWJG03F07,GCA_023055435.1,AWJG03F07_R1_001.fastq.gz,AWJG03F07_R2_001.fastq.gz,39.360083333333336,-123.82366666666667,73-Haliotis,AWJG03F07,73-Haliotis
AWJG03H07,AWJG03H07,GCA_023055435.1,AWJG03H07_R1_001.fastq.gz,AWJG03H07_R2_001.fastq.gz,32.67363333333333,-117.24614722222222,73-Haliotis,AWJG03H07,73-Haliotis
AWJG03G07,AWJG03G07,GCA_023055435.1,AWJG03G07_R1_001.fastq.gz,AWJG03G07_R2_001.fastq.gz,41.050533333333334,-124.15049166666667,73-Haliotis,AWJG03G07,73-Haliotis
AWJG03C08,AWJG03C08,GCA_023055435.1,AWJG03C08_R1_001.fastq.gz,AWJG03C08_R2_001.fastq.gz,37.98801666666667,-122.96269722222223,73-Haliotis,AWJG03C08,73-Haliotis
AWJG03A08,AWJG03A08,GCA_023055435.1,AWJG03A08_R1_001.fastq.gz,AWJG03A08_R2_001.fastq.gz,38.31356666666667,-123.07554722222221,73-Haliotis,AWJG03A08,73-Haliotis
AWJG03B08,AWJG03B08,GCA_023055435.1,AWJG03B08_R1_001.fastq.gz,AWJG03B08_R2_001.fastq.gz,32.67363333333333,-117.24614722222222,73-Haliotis,AWJG03B08,73-Haliotis
AWJG03D08,AWJG03D08,GCA_023055435.1,AWJG03D08_R1_001.fastq.gz,AWJG03D08_R2_001.fastq.gz,37.700858333333336,-122.99649166666667,73-Haliotis,AWJG03D08,73-Haliotis
AWJG03E08,AWJG03E08,GCA_023055435.1,AWJG03E08_R1_001.fastq.gz,AWJG03E08_R2_001.fastq.gz,38.45571944444445,-123.14509722222223,73-Haliotis,AWJG03E08,73-Haliotis
AWJG03F08,AWJG03F08,GCA_023055435.1,AWJG03F08_R1_001.fastq.gz,AWJG03F08_R2_001.fastq.gz,38.45571944444445,-123.14509722222223,73-Haliotis,AWJG03F08,73-Haliotis
AWJG03G08,AWJG03G08,GCA_023055435.1,AWJG03G08_R1_001.fastq.gz,AWJG03G08_R2_001.fastq.gz,38.45571944444445,-123.14509722222223,73-Haliotis,AWJG03G08,73-Haliotis
AWJG03A09,AWJG03A09,GCA_023055435.1,AWJG03A09_R1_001.fastq.gz,AWJG03A09_R2_001.fastq.gz,34.05266111111111,-120.3465361111111,73-Haliotis,AWJG03A09,73-Haliotis
AWJG03B09,AWJG03B09,GCA_023055435.1,AWJG03B09_R1_001.fastq.gz,AWJG03B09_R2_001.fastq.gz,42.2217,-124.3813,73-Haliotis,AWJG03B09,73-Haliotis
AWJG03C09,AWJG03C09,GCA_023055435.1,AWJG03C09_R1_001.fastq.gz,AWJG03C09_R2_001.fastq.gz,43.340138888888895,-124.3781611111111,73-Haliotis,AWJG03C09,73-Haliotis
AWJG03D09,AWJG03D09,GCA_023055435.1,AWJG03D09_R1_001.fastq.gz,AWJG03D09_R2_001.fastq.gz,38.563975,-123.33383888888888,73-Haliotis,AWJG03D09,73-Haliotis
AWJG03E09,AWJG03E09,GCA_023055435.1,AWJG03E09_R1_001.fastq.gz,AWJG03E09_R2_001.fastq.gz,35.21,-120.8573,73-Haliotis,AWJG03E09,73-Haliotis
AWJG03F09,AWJG03F09,GCA_023055435.1,AWJG03F09_R1_001.fastq.gz,AWJG03F09_R2_001.fastq.gz,40.02043888888889,-124.06986666666667,73-Haliotis,AWJG03F09,73-Haliotis
AWJG03G09,AWJG03G09,GCA_023055435.1,AWJG03G09_R1_001.fastq.gz,AWJG03G09_R2_001.fastq.gz,31.46263611111111,-116.59057777777777,73-Haliotis,AWJG03G09,73-Haliotis
AWJG03A10,AWJG03A10,GCA_023055435.1,AWJG03A10_R1_001.fastq.gz,AWJG03A10_R2_001.fastq.gz,31.54910277777778,-116.68323611111111,73-Haliotis,AWJG03A10,73-Haliotis
AWJG03B10,AWJG03B10,GCA_023055435.1,AWJG03B10_R1_001.fastq.gz,AWJG03B10_R2_001.fastq.gz,42.2217,-124.3813,73-Haliotis,AWJG03B10,73-Haliotis
AWJG03C10,AWJG03C10,GCA_023055435.1,AWJG03C10_R1_001.fastq.gz,AWJG03C10_R2_001.fastq.gz,31.54910277777778,-116.68323611111111,73-Haliotis,AWJG03C10,73-Haliotis
AWJG03D10,AWJG03D10,GCA_023055435.1,AWJG03D10_R1_001.fastq.gz,AWJG03D10_R2_001.fastq.gz,38.563975,-123.33383888888888,73-Haliotis,AWJG03D10,73-Haliotis
AWJG03E10,AWJG03E10,GCA_023055435.1,AWJG03E10_R1_001.fastq.gz,AWJG03E10_R2_001.fastq.gz,35.21,-120.8573,73-Haliotis,AWJG03E10,73-Haliotis
AWJG03F10,AWJG03F10,GCA_023055435.1,AWJG03F10_R1_001.fastq.gz,AWJG03F10_R2_001.fastq.gz,40.02043888888889,-124.06986666666667,73-Haliotis,AWJG03F10,73-Haliotis
AWJG03A11,AWJG03A11,GCA_023055435.1,AWJG03A11_R1_001.fastq.gz,AWJG03A11_R2_001.fastq.gz,42.0558,-124.2057,73-Haliotis,AWJG03A11,73-Haliotis
AWJG03B11,AWJG03B11,GCA_023055435.1,AWJG03B11_R1_001.fastq.gz,AWJG03B11_R2_001.fastq.gz,42.4414,-124.3025,73-Haliotis,AWJG03B11,73-Haliotis
AWJG03C11,AWJG03C11,GCA_023055435.1,AWJG03C11_R1_001.fastq.gz,AWJG03C11_R2_001.fastq.gz,31.54910277777778,-116.68323611111111,73-Haliotis,AWJG03C11,73-Haliotis
AWJG03D11,AWJG03D11,GCA_023055435.1,AWJG03D11_R1_001.fastq.gz,AWJG03D11_R2_001.fastq.gz,31.46263611111111,-116.59057777777777,73-Haliotis,AWJG03D11,73-Haliotis
AWJG03F11,AWJG03F11,GCA_023055435.1,AWJG03F11_R1_001.fastq.gz,AWJG03F11_R2_001.fastq.gz,39.269758333333336,-123.79865833333334,73-Haliotis,AWJG03F11,73-Haliotis
AWJG03E11,AWJG03E11,GCA_023055435.1,AWJG03E11_R1_001.fastq.gz,AWJG03E11_R2_001.fastq.gz,42.2638,-124.2802,73-Haliotis,AWJG03E11,73-Haliotis
AWJG03G11,AWJG03G11,GCA_023055435.1,AWJG03G11_R1_001.fastq.gz,AWJG03G11_R2_001.fastq.gz,38.563975,-123.33383888888888,73-Haliotis,AWJG03G11,73-Haliotis
AWJG03A12,AWJG03A12,GCA_023055435.1,AWJG03A12_R1_001.fastq.gz,AWJG03A12_R2_001.fastq.gz,36.620733333333334,-121.90196666666667,73-Haliotis,AWJG03A12,73-Haliotis
AWJG03B12,AWJG03B12,GCA_023055435.1,AWJG03B12_R1_001.fastq.gz,AWJG03B12_R2_001.fastq.gz,42.2217,-124.3813,73-Haliotis,AWJG03B12,73-Haliotis
AWJG03C12,AWJG03C12,GCA_023055435.1,AWJG03C12_R1_001.fastq.gz,AWJG03C12_R2_001.fastq.gz,42.4414,-124.3025,73-Haliotis,AWJG03C12,73-Haliotis
AWJG03D12,AWJG03D12,GCA_023055435.1,AWJG03D12_R1_001.fastq.gz,AWJG03D12_R2_001.fastq.gz,39.269758333333336,-123.79865833333334,73-Haliotis,AWJG03D12,73-Haliotis
AWJG03E12,AWJG03E12,GCA_023055435.1,AWJG03E12_R1_001.fastq.gz,AWJG03E12_R2_001.fastq.gz,38.530525,-123.27260555555556,73-Haliotis,AWJG03E12,73-Haliotis
AWJG03G12,AWJG03G12,GCA_023055435.1,AWJG03G12_R1_001.fastq.gz,AWJG03G12_R2_001.fastq.gz,41.050533333333334,-124.15049166666667,73-Haliotis,AWJG03G12,73-Haliotis
AWJG03H12,AWJG03H12,GCA_023055435.1,AWJG03H12_R1_001.fastq.gz,AWJG03H12_R2_001.fastq.gz,32.67363333333333,-117.24614722222222,73-Haliotis,AWJG03H12,73-Haliotis
